product_id,error
12939647,-5.0
11397377,-189.01
12521359,4.030000000000001
12207680,-0.9800000000000182
12483598,2.0
12457914,115.0
11773550,652.0
12273890,-2838.0
10637058,15.019999999999982
10530053,-10463.970000000001
12799546,0.40000000000000013
11067705,8.980000000000004
13763971,5.9799999999999995
13135699,-0.019999999999999907
12729833,-13.009999999999991
10637004,-19.030000000000086
11521279,62.98000000000002
10575251,98.03000000000009
13102033,-2.02
13174412,134.0
10531013,-1761.9899999999998
12081396,-770.01
12341730,38.03
13763991,-3.02
13460491,-1.02
12291971,-0.019999999999999907
10530149,-793.97
12448606,-438.01000000000005
10529514,17.969999999999914
13994624,1.0299999999999998
12955945,-12.009999999999991
10530744,-83.02999999999997
13698725,-0.019999999999999907
12903292,-22.990000000000002
12435942,-1.02
11338776,-3003.98
12341738,32.97
12955937,-4.019999999999996
13102035,-1.02
11773547,-640.9699999999998
13102152,-0.9800000000000004
10485098,-5963.0
12928216,-0.019999999999999907
11147224,-1176.99
11691951,-99.01999999999998
11338642,-632.0300000000001
10529297,-3014.98
10995920,-402.02
11372978,-11.96999999999997
14209282,0.030000000000001137
12070617,-32.99000000000001
13649623,-2.02
11338735,-3.9899999999999984
10995907,-155.02
10530962,-97.01
14237311,-3.0
13528866,-296.03
13936244,-1.02
10530123,-20.029999999999994
12077904,-2.9800000000000004
13102036,-3.02
11366951,-68.02999999999997
11308927,2.969999999999999
13115142,0.029999999999999805
13491911,-5.969999999999999
10530483,3.0
13108550,-1.02
11338684,-78.00999999999999
10529333,-71.02999999999997
12302923,-3.0100000000000002
11653754,1.0199999999999818
12708264,458.96999999999997
11106653,-336.99
11672691,-1.0
11087106,869.0300000000001
11083002,65.00999999999999
12457913,161.98000000000002
13442785,4.969999999999999
13713627,-1.02
10809177,-299.99
12644182,-8.969999999999999
12644184,4.980000000000018
12644179,33.98999999999995
12465194,-25.0
11413393,38.0
11960745,-0.010000000000001563
10530935,19.019999999999982
12663795,-4.009999999999991
12402102,-0.030000000000001137
13444449,-4.0
11925873,-0.019999999999999907
11324212,50.99
12513711,-17.0
13837108,0.40000000000000013
10530971,-679.0
13170775,3684.02
10889147,64.03
