product_id,units_sold
12939647.0,5.0
11397377.0,431.0
12521359.0,82.0
12207680.0,140.0
12483598.0,47.0
12457914.0,165.0
11773550.0,27.0
12273890.0,3041.0
10637058.0,124.0
10530053.0,22191.0
12799546.0,1.0
11067705.0,118.0
13763971.0,2.0
13135699.0,1.0
12729833.0,892.0
10637004.0,647.0
11521279.0,2080.0
10575251.0,415.0
13102033.0,3.0
13174412.0,468.0
10531013.0,3893.0
14233239.0,1869.0
12081396.0,1740.0
12341730.0,69.0
13763991.0,4.0
13460491.0,2.0
12291971.0,1.0
13219555.0,1.0
10530149.0,1209.0
12448606.0,911.0
10529514.0,610.0
13994624.0,1.0
12955945.0,247.0
12435961.0,1.0
10530744.0,1467.0
13698725.0,1.0
12903292.0,75.0
12435942.0,2.0
11338776.0,4858.0
12341738.0,161.0
12955937.0,124.0
13102035.0,2.0
11773547.0,3828.0
13102152.0,7.0
10485098.0,6873.0
12928216.0,1.0
11147224.0,1327.0
11691951.0,1143.0
11338642.0,1148.0
10529297.0,3343.0
10995920.0,578.0
11372978.0,490.0
14209282.0,9.0
12070617.0,358.0
13649623.0,3.0
11338735.0,21.0
10995907.0,205.0
10530962.0,101.0
14237311.0,3.0
13528866.0,1421.0
13936244.0,2.0
10530123.0,81.0
12077904.0,23.0
13102036.0,4.0
12435987.0,1.0
11366951.0,1291.0
11308927.0,198.0
13115142.0,2.0
13491911.0,57.0
13280725.0,1.0
10530483.0,39.0
13108550.0,2.0
11338684.0,670.0
10529333.0,1077.0
12302923.0,7.0
11653754.0,348.0
12708264.0,1.0
11106653.0,641.0
14232191.0,3.0
11672691.0,15.0
11087106.0,1.0
11083002.0,337.0
12457913.0,987.0
13442785.0,203.0
13713627.0,2.0
10809177.0,387.0
12644182.0,207.0
12644184.0,227.0
12644179.0,460.0
12465194.0,95.0
11413393.0,641.0
11960745.0,18.0
10530935.0,295.0
12663795.0,666.0
12402102.0,12.0
13444449.0,116.0
11925873.0,1.0
11324212.0,2.0
12513711.0,66.0
14237431.0,144.0
13837108.0,1.0
14237433.0,11.0
13763114.0,1.0
13219562.0,1.0
10530971.0,1043.0
13170775.0,25.0
10889147.0,148.0
13227271.0,318.0
13661774.0,920.0
12789368.0,13.0
13513681.0,3.0
11720955.0,260.0
10636923.0,4089.0
13350047.0,1.0
13280727.0,1.0
14232192.0,4.0
13483684.0,78.0
13624851.0,1.0
12273894.0,22.0
13508322.0,113.0
12270212.0,395.0
11704834.0,241.0
12644177.0,760.0
12644176.0,462.0
13422325.0,114.0
11523630.0,20.0
12458077.0,856.0
12856653.0,108.0
10848207.0,4906.0
12543333.0,894.0
10529806.0,247.0
13528187.0,758.0
13808149.0,29.0
12644183.0,242.0
12644181.0,335.0
11324200.0,236.0
10530424.0,832.0
13457504.0,17.0
13356815.0,6.0
13630062.0,963.0
11360747.0,18.0
10637007.0,949.0
13808956.0,20.0
12644174.0,565.0
12644175.0,474.0
11925874.0,5.0
11307161.0,4.0
14242239.0,21.0
11334291.0,49.0
13905846.0,178.0
12270196.0,1.0
12856890.0,3.0
12402116.0,6.0
13763891.0,28.0
10529303.0,121.0
10648433.0,1048.0
11058334.0,2219.0
12552275.0,590.0
10530473.0,400.0
12773667.0,17.0
12763113.0,3.0
13764037.0,36.0
13827786.0,21.0
12640166.0,1.0
12856630.0,773.0
12207679.0,69.0
12882753.0,10.0
12706028.0,18.0
12706029.0,24.0
13554724.0,231.0
10485093.0,293.0
10529304.0,526.0
14209505.0,26.0
13513624.0,2.0
12856632.0,555.0
11175724.0,61.0
12402114.0,10.0
13323262.0,1.0
13444446.0,10.0
13188368.0,30.0
12432285.0,1.0
13827845.0,5.0
13898829.0,1.0
10530422.0,1302.0
12309352.0,1727.0
14195782.0,1.0
12309349.0,374.0
13946999.0,1.0
12968611.0,101.0
13455517.0,67.0
12207681.0,110.0
12789366.0,2.0
12706027.0,15.0
12309343.0,840.0
11490827.0,86.0
10995909.0,95.0
12309355.0,909.0
12309346.0,637.0
11162595.0,2509.0
10797929.0,2231.0
12848609.0,11.0
12652728.0,1.0
12164501.0,4.0
12706026.0,48.0
10530997.0,2801.0
13107189.0,45.0
13125612.0,110.0
12388659.0,4.0
13518584.0,201.0
13422331.0,50.0
13661767.0,226.0
13888792.0,2.0
11416400.0,6.0
13147600.0,2.0
12093399.0,70.0
13513644.0,5.0
11044034.0,2099.0
11235788.0,1136.0
14007287.0,2.0
12708710.0,290.0
11422925.0,114.0
11260816.0,1375.0
14007286.0,2.0
12081397.0,1778.0
13096846.0,272.0
12658366.0,2367.0
11118731.0,782.0
12302881.0,13.0
12673802.0,7.0
13902184.0,22.0
11235794.0,644.0
10531012.0,6432.0
11267195.0,224.0
14217972.0,2754.0
13096848.0,369.0
13096850.0,149.0
11960808.0,22.0
13457603.0,1.0
11267201.0,1000.0
11243166.0,531.0
11160097.0,199.0
10530990.0,2174.0
12770762.0,60.0
13894737.0,2.0
13632799.0,1.0
13646731.0,669.0
12854729.0,645.0
12402163.0,26.0
11185008.0,632.0
11160099.0,85.0
12309335.0,220.0
10926374.0,351.0
10529515.0,2373.0
12712275.0,303.0
13256724.0,268.0
11994679.0,605.0
13951662.0,803.0
10781285.0,65.0
13830742.0,5046.0
13830743.0,5830.0
